,Year,State,Population,Violent Crime,Murder-Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-Theft,Motor Vehicle Theft,% Violent Crime,% Murder-Manslaughter,% Rape,% Robbery,% Aggravated Assault,% Property Crime,% Burglary,% Larceny-Theft,% Motor Vehicle Theft
0,2010,Alabama,4779736,18056,273,1349,4761,11673,168092,42034,115458,10600,0.0037776144958633698,5.711612524206358e-05,0.0002822331609946658,0.0009960801182324714,0.002442185091394169,0.035167632689336814,0.008794209554669965,0.02415572742929735,0.0022176957053695015
1,2010,Alaska,710231,4537,31,533,594,3379,20259,3105,15535,1619,0.006388062475448129,4.364777093649812e-05,0.0007504600615855968,0.0008363476108477383,0.004757607032078295,0.028524522303306953,0.004371817056704087,0.02187316520962898,0.002279540036973886
2,2010,Arizona,6392017,26085,409,2165,6937,16574,225893,50771,153614,21508,0.004080871499559529,6.398606261529029e-05,0.0003387037299806931,0.0010852599422060362,0.0025929217647575093,0.03533986220624882,0.007942876247043774,0.024032163869401473,0.0033648220898035786
3,2010,Arkansas,2915918,14735,138,1312,2372,10913,103775,32511,65720,5544,0.005053297109177967,4.7326433733733256e-05,0.00044994406564244946,0.0008134659479450382,0.0037425606618567463,0.03558913522259542,0.011149490486357983,0.0225383567027605,0.001901288033476936
4,2010,California,37253956,164133,1809,8331,58116,95877,981939,228857,600558,152524,0.004405787133049709,4.855860140061367e-05,0.0002236272571965243,0.0015599954002200463,0.0025736058742325246,0.026357979270711547,0.006143159668734241,0.01612065038139842,0.004094169220578883
5,2010,Colorado,5029196,16133,120,2198,3132,10683,134992,26153,97592,11247,0.0032078686135915166,2.3860672759622014e-05,0.00043704798938040993,0.0006227635590261345,0.00212419639242535,0.02684166614305746,0.005200234789019955,0.01940508979964193,0.0022363415543955735
6,2010,Connecticut,3574097,10057,130,583,3553,5791,78386,15172,56507,6707,0.002813857598156961,3.637282368105846e-05,0.00016311812466197756,0.000994097250298467,0.001620269399515458,0.02193169351587268,0.004244988314530915,0.015810147290350542,0.0018765579109912237
7,2010,Delaware,897934,5575,48,312,1829,3386,30963,7515,21519,1929,0.006208696852998105,5.345604465361597e-05,0.0003474642902485038,0.0020368980348221583,0.0037708784832738264,0.03448248980437315,0.00836921199108175,0.023965013018774208,0.0021482647945171916
8,2010,District of Columbia,601723,8004,132,187,4325,3360,28756,4231,19489,5036,0.013301801659567609,0.0002193700423616847,0.00031077422667905334,0.007187692675865805,0.005583964714661065,0.04778943134964095,0.007031474615396121,0.032388657239294495,0.008369299494950334
9,2010,Florida,18801310,101969,987,5373,26086,69523,669035,169119,458454,41462,0.005423505064274777,5.249634201021099e-05,0.0002857779590890209,0.0013874565123387678,0.0036977742508367767,0.03558448852766111,0.008995064705597642,0.02438415195536907,0.002205271866694395
