,Year,State,Population,Violent Crime,Murder-Manslaughter,Rape,Rape-Legacy,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-Theft,Motor Vehicle Theft,% Violent Crime,% Murder-Manslaughter,% Rape,% Robbery,% Aggravated Assault,% Property Crime,% Burglary,% Larceny-Theft,% Motor Vehicle Theft
0,2015,Alabama,4858979,22952,348,2039,1456,4611,15954,144746,35255,99156,10335,0.004723626095111751,7.161998436297008e-05,0.00041963548309222986,0.0009489647928093536,0.003283405834847197,0.029789385794834675,0.007255639507806064,0.020406756234180062,0.002126990052848551
1,2015,Alaska,738432,5392,59,901,650,761,3671,20806,3511,15249,2046,0.007301958745016468,7.989902929450511e-05,0.0012201529727855782,0.001030562055815566,0.0049713446871208185,0.028175918703414803,0.004754669353440804,0.02065051352054082,0.0027707358294331774
2,2015,Arizona,6828065,28012,309,3108,2294,6360,18235,207107,37957,152365,16785,0.004102479985178817,4.5254402235479595e-05,0.0004551802011257948,0.0009314498324195801,0.002670595549397963,0.030331726484736157,0.005558968756155661,0.022314521024624105,0.002458236703956392
3,2015,Arkansas,2978204,15526,181,1931,1300,2098,11316,96836,22640,68424,5772,0.005213209034706823,6.077488311747617e-05,0.0006483773441980469,0.0007044514076268785,0.003799605399764422,0.03251489824068465,0.007601896982208069,0.022974920455415413,0.0019380808030611738
4,2015,California,39144818,166883,1861,12811,9387,52862,99349,1024914,197404,656517,170993,0.004263220740993099,4.754141403850696e-05,0.00032727192651655707,0.0013504214018826195,0.0025379859985554154,0.02618262269095235,0.005042915258923927,0.016771491950735344,0.004368215481293079
5,2015,Colorado,5456574,17515,176,3257,2377,3323,10759,144136,23454,104682,16000,0.003209889575400242,3.225467115446432e-05,0.000596894681534604,0.0006089901832175281,0.0019717500394936457,0.02641510955409017,0.004298301461686399,0.01918456526017974,0.002932242832224029
6,2015,Connecticut,3590886,7845,117,773,582,2892,4063,65066,10053,48675,6338,0.0021846975927389506,3.258248799878359e-05,0.0002152672070346984,0.0008053722674571123,0.0011314756302483566,0.018119762086571393,0.002799587622664713,0.013555150455904198,0.001765024008002482
7,2015,Delaware,945934,4720,63,341,243,1235,3081,25455,4773,19501,1181,0.0049897772994733245,6.66008410734787e-05,0.0003604902667627974,0.0013055879162816857,0.003257098275355363,0.02690991126230794,0.005045806578471648,0.020615603202760447,0.0012485014810758466
8,2015,District of Columbia,672228,8531,162,494,366,3742,4133,31435,2971,25200,3264,0.012690634725123023,0.00024098966422106784,0.0007348697168222686,0.005566563725402691,0.0061482116186769966,0.046762407992526345,0.004419631434572794,0.037487281101055,0.0048554954568985524
9,2015,Florida,20271272,93626,1041,7553,5430,21137,63895,570270,109268,420341,40661,0.0046186544189234895,5.135346218037033e-05,0.0003725962534566158,0.001042707137470209,0.003151997565816294,0.02813192975754062,0.005390288285806633,0.02073579793118064,0.0020058435405533506
