,Year,State,Population,Violent Crime,Murder-Manslaughter,Rape,Rape-Legacy,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-Theft,Motor Vehicle Theft,% Violent Crime,% Murder-Manslaughter,% Rape,% Robbery,% Aggravated Assault,% Property Crime,% Burglary,% Larceny-Theft,% Motor Vehicle Theft
0,2016,Alabama,4863300,25886,407,1916,1385,4686,18877,143362,34065,97574,11723,0.005322723253757737,8.36880307610059e-05,0.00039397117183805237,0.000963543273086176,0.003881520778072502,0.029478337754199824,0.007004503115168713,0.020063331482738058,0.002410503156293052
1,2016,Alaska,741894,5966,52,1053,757,850,4011,24876,4053,17766,3057,0.008041580063998362,7.009087551590928e-05,0.001419340229197163,0.001145716234394671,0.005406432724890618,0.033530396525649216,0.005463044585884237,0.02394681720030085,0.004120534739464128
2,2016,Arizona,6931071,32583,380,3290,2452,7055,21858,206432,37736,150275,18421,0.004701005082764265,5.482558178959644e-05,0.0004746741160204534,0.0010178802092779024,0.003153625175676313,0.029783564473657823,0.005444468827400556,0.02168135343008317,0.002657742216174095
3,2016,Arkansas,2988248,16461,216,2143,1545,2120,11982,97673,23771,66747,7155,0.005508578939900571,7.228315722122127e-05,0.0007171426200235055,0.0007094458023564309,0.004009707360299413,0.03268570747809419,0.007954828381044679,0.022336499514096553,0.0023943795829529544
4,2016,California,39250017,174796,1930,13702,10149,54789,104375,1002070,188304,637010,176756,0.0044533993450244875,4.91719532248865e-05,0.0003490953902007227,0.0013958974845794333,0.002659234517019445,0.025530434802104672,0.00479755206220675,0.016229547110769404,0.004503335629128517
5,2016,Colorado,5540545,18983,204,3555,2619,3528,11696,151850,23903,108336,19611,0.003426197242329049,3.681948255992867e-05,0.0006416336299046394,0.0006367604630952371,0.002110983666769244,0.027407051111397886,0.004314196527597917,0.019553311091237414,0.0035395434925625546
6,2016,Connecticut,3576452,8123,78,763,561,2703,4579,64664,10045,47512,7107,0.0022712453571304744,2.1809323877406994e-05,0.00021333992459566072,0.0007557769543670655,0.0012803191542903414,0.01808048870780315,0.002808649466007093,0.01328467430850463,0.0019871649332914294
7,2016,Delaware,952065,4844,56,308,221,1359,3121,26334,5023,19791,1520,0.005087887906813085,5.881951337356168e-05,0.0003235073235545892,0.00142742354776197,0.003278137522122964,0.02765987616391738,0.005275900279917862,0.020787446235288557,0.00159652964871096
8,2016,District of Columbia,681170,8214,139,532,401,3480,4063,32716,2361,27382,2973,0.012058663769690385,0.00020406066033442459,0.0007810091460281574,0.005108856819883436,0.005964737143444368,0.04802912635612255,0.0034660951010760895,0.04019848202357708,0.004364549231469383
9,2016,Florida,20612439,88700,1111,7598,5528,20175,59816,553812,100325,410352,43135,0.004303226803970166,5.389949243755191e-05,0.0003686123704235098,0.0009787779117260214,0.0029019370293830826,0.02686785392063501,0.0048672066415818135,0.019907978866547524,0.0020926684125056718
10,2016,Georgia,10310371,40990,681,3509,2528,12205,24595,309770,63344,219625,26801,0.003975608637167373,6.604999955869678e-05,0.0003403369287099368,0.001183759536877965,0.002385462172020774,0.03004450567297724,0.006143716845882655,0.021301367331980587,0.0025994214951139973
