,Year,State,Population,Violent Crime,Murder-Manslaughter,Rape,Rape-Legacy,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-Theft,Motor Vehicle Theft,% Violent Crime,% Murder-Manslaughter,% Rape,% Robbery,% Aggravated Assault,% Property Crime,% Burglary,% Larceny-Theft,% Motor Vehicle Theft
11,2016,Hawaii,1428557,4417,35,619,447,994,2769,42753,6017,31082,5654,0.0030919312285054078,2.450024745249927e-05,0.00043330437637420136,0.0006958070276509793,0.0019383195770277279,0.029927402266762895,0.00421194254061966,0.021757619751959494,0.003957839974183739
12,2016,Idaho,1683140,3876,49,719,529,213,2895,29357,6318,20962,2077,0.0023028387418753044,2.9112254476751786e-05,0.00042717777487315375,0.00012654918782751287,0.001719999524697886,0.017441805197428616,0.0037536984445738324,0.012454103639625937,0.001234003113228846
13,2016,Illinois,12801539,55854,1054,4908,3635,17827,32065,262306,47989,194407,19910,0.004363069159106573,8.233385064092685e-05,0.00038339140317425897,0.001392566940584253,0.002504776964707134,0.020490192624496164,0.00374868990361237,0.015186220969213154,0.001555281751670639
14,2016,Indiana,6633053,26845,439,2501,1851,7330,16575,171759,34097,122931,14731,0.004047155962721842,6.618370153231099e-05,0.0003770511105519585,0.0011050718274073794,0.0024988493232301926,0.025894410914551715,0.005140468499196373,0.01853309479058889,0.0022208476247664536
15,2016,Iowa,3134693,9110,71,1247,922,1148,6644,65391,15030,45378,4983,0.002906185709413968,2.2649745924082517e-05,0.0003978061009483225,0.0003662240608569962,0.002119505801684567,0.02086041599608,0.004794727904774088,0.014476058740042486,0.0015896293512634252
16,2016,Kansas,2907289,11060,111,1312,971,1671,7966,78367,14364,57066,6937,0.003804231364683731,3.8179898867983194e-05,0.0004512795253585041,0.0005747622613369362,0.0027400096791203076,0.026955352563849,0.004940685291348745,0.019628595574777738,0.0023860716977225174
17,2016,Kentucky,4436974,10308,260,1641,1174,3369,5038,97158,20834,66438,9886,0.002323204959055428,5.859849528079272e-05,0.0003698466567530033,0.0007593012715422718,0.0011354585354793605,0.02189735617112023,0.004695542502615522,0.014973718574866565,0.0022280950936381418
18,2016,Louisiana,4681666,26502,554,1816,1328,5576,18556,154386,34667,109380,10339,0.005660805362877232,0.00011833394351497949,0.00038789610365199057,0.0011910290054865085,0.003963546310223754,0.03297672238899571,0.007404842635079051,0.023363477873047756,0.0022084018808689043
19,2016,Maine,1331479,1648,20,412,300,266,950,21912,4003,17134,775,0.0012377213609827869,1.502089030318916e-05,0.0003094303402456967,0.00019977784103241582,0.0007134922894014851,0.016456887416174043,0.0030064311941833104,0.012868396722742153,0.00058205949924858
20,2016,Maryland,6016447,28400,481,1756,1266,10289,15874,137445,24692,100919,11834,0.00472039394679285,7.994751719744228e-05,0.0002918666116397269,0.0017101455393856207,0.0026384342785700596,0.022844878380878283,0.004104083356838347,0.016773853405506606,0.0019669416185333303
21,2016,Massachusetts,6811779,25677,134,2128,1592,5365,18050,106339,19193,79088,8058,0.0037694998619303417,1.9671806733600724e-05,0.0003124000352918085,0.0007876062919833424,0.00264982172792159,0.015611046688390801,0.0028176193032686467,0.011610476499604581,0.001182950885517572
22,2016,Michigan,9928300,45572,598,7125,5114,7120,30729,189620,39568,129876,20176,0.004590111096562352,6.02318624537937e-05,0.0007176455183666891,0.0007171419074766072,0.003095091808265262,0.01909893939546549,0.003985375139752022,0.013081393592055035,0.002032170663658431
23,2016,Minnesota,5519952,13394,101,2348,1731,3728,7217,117756,18606,90422,8728,0.002426470375104711,1.829726055588889e-05,0.00042536601767551605,0.0006753681916074633,0.001307438905265843,0.02133279419821042,0.003370681484186819,0.016380939544401837,0.0015811731696217647
24,2016,Mississippi,2988726,8383,238,1277,905,2397,4471,82732,23354,55054,4324,0.002804874050013283,7.96325926163857e-05,0.0004272723561811956,0.000802013968493599,0.001495955132722103,0.027681359883776565,0.007814031798164167,0.018420557789506298,0.0014467702961061001
25,2016,Missouri,6093000,31644,537,2554,1884,6570,21983,170549,31710,120544,18295,0.005193500738552437,8.813392417528311e-05,0.00041916953881503366,0.0010782865583456426,0.003607910717216478,0.027990973247989496,0.005204332840965042,0.019784014442803217,0.0030026259642212377
26,2016,Montana,1042520,3840,36,578,414,266,2960,27976,3934,21299,2743,0.0036833825729962015,3.453171162183939e-05,0.0005544258143728658,0.00025515098031692437,0.002839274066684572,0.026834976787016077,0.003773548708897671,0.020430303495376587,0.002631124582741818
27,2016,Nebraska,1907116,5550,49,994,738,946,3561,43163,6444,31994,4725,0.0029101533414852584,2.5693245717617595e-05,0.0005212058417002427,0.0004960369479360459,0.0018672173061313523,0.02263260336550058,0.0033789239878434245,0.01677611639774403,0.0024775629799131255
28,2016,Nevada,2940058,19936,224,1733,1292,6340,11639,76047,18850,44017,13180,0.006780818609700897,7.618897314270671e-05,0.0005894441538228158,0.0021564200434141096,0.0039587654393212655,0.02586581625260454,0.0064114381416965245,0.014971473351886255,0.004482904759021761
29,2016,New Hampshire,1334795,2637,17,582,423,427,1611,20194,2963,16360,871,0.001975584265748673,1.273603811821291e-05,0.00043602201087058313,0.00031989931038099484,0.0012069269063788822,0.015128914927011263,0.0022198165261332263,0.012256563741997835,0.0006525346588802025
30,2016,New Jersey,8944469,21914,372,1453,1089,8984,11105,138152,25284,101540,11328,0.002450005696257654,4.158994793318642e-05,0.0001624467589970964,0.0010044196027735128,0.001241549386553858,0.015445522814154759,0.0028267748482330253,0.011352266970795024,0.001266480995126709
31,2016,New Mexico,2081015,14619,139,1526,1117,2737,10217,81931,17281,52907,11743,0.007024937350283395,6.679432872900964e-05,0.0007332960118019332,0.001315223580800715,0.004909623428951737,0.03937069170573013,0.00830412082565479,0.025423651439321678,0.00564291944075367
32,2016,New York,19745289,74285,630,6260,4569,22316,45079,305181,39821,250968,14392,0.003762163217768046,3.190634485015641e-05,0.0003170376488285383,0.001130193637581096,0.0022830255865082553,0.015455889250342195,0.0020167342194890134,0.012710272308498497,0.0007288827223546842
33,2016,North Carolina,10146788,37769,678,2849,2086,9336,24906,277765,72082,190377,15306,0.0037222616654649728,6.681917469843658e-05,0.0002807785084304511,0.0009200941223961711,0.002454569859939914,0.027374672655031327,0.007103922936006942,0.018762292067203926,0.0015084576518204578
34,2016,North Dakota,757952,1903,15,342,256,181,1365,17402,3243,12195,1964,0.002510713079456219,1.97901714092713e-05,0.0004512159081313856,0.00023880140167187368,0.0018009055982436883,0.022959237524275942,0.004278635058684455,0.016089409355737567,0.0025911931098539223
35,2016,Ohio,11614373,34877,654,5589,4141,12523,16111,299357,66883,212807,19667,0.0030029171613482706,5.630953991231382e-05,0.0004812140956726635,0.0010782329790854832,0.0013871605466778104,0.02577470174240142,0.00575864060849432,0.018322728226482825,0.0016933329074242751
36,2016,Oklahoma,3923561,17648,245,2039,1509,3162,12202,117037,29103,75779,12155,0.004497954791578365,6.244327538172594e-05,0.0005196809734830171,0.0008059005581919079,0.0031099299845217137,0.029829280085106363,0.007417496503813755,0.019313832510823713,0.003097951070468893
37,2016,Oregon,4093465,10830,113,1721,1261,2278,6718,121345,16866,91286,13193,0.0026456803710304105,2.7604975247131707e-05,0.0004204262159319794,0.0005564967576368676,0.001641152422214432,0.02964359045454157,0.004120225774496667,0.022300422746988187,0.0032229419330567135
38,2016,Pennsylvania,12784227,40447,661,4433,3233,12326,23027,222795,35520,174228,13047,0.0031638205422979426,5.1704338478971e-05,0.00034675541978408236,0.0009641568473400856,0.0018012039366948037,0.017427334480215346,0.0027784237560863085,0.013628356254938214,0.001020554469190824
39,2016,Puerto Rico,3411307,7643,679,169,128,3201,3594,35201,8251,23163,3787,0.002240490228525313,0.00019904394415395623,4.9541128957317534e-05,0.0009383500224400794,0.0010535551329739598,0.010318918819091919,0.002418721035661698,0.006790066094901456,0.0011101316885287662
40,2016,Rhode Island,1056426,2524,29,442,328,540,1513,20058,3788,14674,1596,0.0023891876951154176,2.7451047210121675e-05,0.0004183918229956476,0.0005111574308091623,0.0014321873941004859,0.01898665879105588,0.00358567471834279,0.013890229888321568,0.001510754184391524
41,2016,South Carolina,4961119,24896,366,2387,1711,4035,18108,160928,32976,114032,13920,0.005018222703386071,7.377367888172003e-05,0.00048114145216028885,0.0008133245745566676,0.0036499829977873943,0.032437843155949296,0.006646887526785792,0.022985137022514476,0.0028058186066490243
42,2016,South Dakota,865454,3621,27,509,379,272,2813,17141,3000,12639,1502,0.004183931208360006,3.119749865388571e-05,0.0005881306227714009,0.00031428591236507084,0.0032503171745696478,0.019805789793564996,0.003466388739320634,0.014603895758757831,0.0017355052954865307
43,2016,Tennessee,6651194,42097,486,2714,1991,7813,31084,189835,40312,134404,15119,0.006329239532029888,7.306958720494396e-05,0.00040804703636670346,0.0011746763062391505,0.00467344660221909,0.028541491948663653,0.006060866665443828,0.020207499585788657,0.002273125697431168
44,2016,Texas,27862596,121042,1478,13367,9858,33317,72880,768947,148740,551151,69056,0.004344247032832116,5.3046026292740276e-05,0.00047974711329841626,0.0011957607970197752,0.0026156930962211848,0.02759782326097683,0.005338339614872929,0.019781035478531862,0.002478448167572038
45,2016,Utah,3051217,7407,72,1520,1116,1541,4274,90058,12836,67834,9388,0.002427555955541674,2.3597141730660256e-05,0.0004981618809806054,0.000505044380652048,0.0014007525521783602,0.029515435971941686,0.004206845989649376,0.02223178489107789,0.0030768050912144238
46,2016,Vermont,624594,989,14,178,124,106,691,10602,2103,8217,282,0.001583428595215452,2.2414560498499826e-05,0.0002849851263380692,0.00016971024377435582,0.001106318664604527,0.016974226457506795,0.0033669871948817953,0.013155745972583791,0.0004514932900412108
47,2016,Virginia,8411808,18302,484,2737,1965,4803,10278,156412,20018,126606,9788,0.0021757510394911535,5.75381653979739e-05,0.00032537594771540196,0.0005709830752199765,0.001221853851157801,0.018594337864107215,0.0023797499895385154,0.015050985471850999,0.0011636024027177035
48,2016,Washington,7288000,22023,195,3077,2259,5651,13100,254653,49180,173187,32286,0.0030218166849615806,2.6756311745334797e-05,0.0004222008781558727,0.000775384193194292,0.0017974753018660812,0.03494141053787047,0.00674807903402854,0.023763309549945114,0.004430021953896817
49,2016,West Virginia,1831102,6557,81,657,468,720,5099,37487,9301,25677,2509,0.0035809037399336576,4.4235656997807875e-05,0.00035880032898221944,0.0003932058399805145,0.002784661913973116,0.020472371282429926,0.005079454885637174,0.014022703268305098,0.0013702131284876538
50,2016,Wisconsin,5778708,17679,229,1979,1458,4706,10765,111720,19425,82337,9958,0.003059334370243314,3.9628235238741945e-05,0.0003424640940500887,0.000814368886609256,0.0018628731543452273,0.019333041226516377,0.003361478032805949,0.014248340632542777,0.001723222561167652
51,2016,Wyoming,585501,1430,20,205,150,59,1146,11460,1771,8889,800,0.0024423527884666293,3.4158780258274536e-05,0.000350127497647314,0.00010076840176190988,0.001957298108799131,0.01957298108799131,0.0030247599918702102,0.015181869885790119,0.0013663512103309816
