,Year,State,Population,Violent Crime,Murder-Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-Theft,Motor Vehicle Theft,% Violent Crime,% Murder-Manslaughter,% Rape,% Robbery,% Aggravated Assault,% Property Crime,% Burglary,% Larceny-Theft,% Motor Vehicle Theft
10,2018,Georgia,10519475,34355,642,2651,8279,22783,270738,45369,200609,24760,0.0032658473925742493,6.102966165136568e-05,0.0002520087742021346,0.0007870164623234525,0.0021657924943972963,0.02573683572611751,0.004312857818474782,0.019070248277599403,0.0023537296300433245
11,2018,Hawaii,1420491,3532,36,625,946,1925,40772,5631,29492,5649,0.002486464187383095,2.5343349588276165e-05,0.00043998870812979454,0.000665966908625257,0.0013551652210397672,0.028702751372588774,0.003964122264766197,0.02076183516826224,0.003976793939560335
12,2018,Idaho,1754208,3983,35,791,200,2957,25636,4940,18732,1964,0.0022705403236104272,1.9952023933307794e-05,0.00045091574089275614,0.0001140115653331874,0.0016856609934511758,0.014614002444407961,0.0028160856637297286,0.010678323209106331,0.0011195935715719002
13,2018,Illinois,12741080,51490,884,5859,14208,30539,246264,39080,187591,19593,0.004041258668809866,6.938187343616083e-05,0.0004598511272199845,0.0011151330970372998,0.00239689257111642,0.01932834579172252,0.0030672439071099153,0.014723320158102767,0.0015377817265098406
14,2018,Indiana,6691878,25581,438,2370,5939,16834,145838,25268,105242,15328,0.0038226937191622444,6.545247836257624e-05,0.00035416067059202214,0.0008874937648295441,0.0025155868053781017,0.02179328433662419,0.00377592060106296,0.015726825862635272,0.002290537872925956
15,2018,Iowa,3156145,7893,54,976,932,5931,53385,11127,37571,4687,0.002500835671364909,1.7109480077753082e-05,0.00030923801029420384,0.0002952969524530717,0.00187919122853988,0.016914622110200894,0.003525503422688121,0.011904079185208537,0.0014850395023042352
16,2018,Kansas,2911505,12782,113,1567,1543,9559,76686,12537,56305,7844,0.004390169345407272,3.8811542484041756e-05,0.0005382096201105614,0.0005299664606449242,0.003283181722167745,0.026338955282577223,0.0043060204258622255,0.019338795571362578,0.002694139285352421
17,2018,Kentucky,4468402,9467,244,1707,2457,5059,87695,17190,60244,10261,0.002118654498856638,5.460565096873558e-05,0.00038201576312963786,0.0005498610017630464,0.0011321720829952184,0.019625584269275683,0.0038470128694777237,0.01348222474164142,0.00229634665815654
18,2018,Louisiana,4659978,25049,530,2085,4568,17866,152661,31132,109993,11536,0.005375347265587949,0.0001137344425231192,0.0004474270050201954,0.00098026213857662,0.0038339236794680148,0.0327600259057017,0.006680718235150466,0.023603759502727265,0.0024755481678239684
19,2018,Maine,1338404,1501,24,446,228,803,18173,2713,14683,777,0.001121484992573244,1.793180534427572e-05,0.00033323271598112376,0.00017035215077061932,0.0005999683204772251,0.013578112438396777,0.002027041162459168,0.010970529077916683,0.0005805421980209265
20,2018,Maryland,6042718,28320,490,1979,9716,16135,122864,18892,91835,12137,0.0046866327371225995,8.108933761264385e-05,0.0003275016308886167,0.0016078857229478523,0.0026701560456734866,0.020332572196816067,0.003126407686077689,0.015197631264606423,0.002008533246131956
21,2018,Massachusetts,6902149,23337,136,2410,4143,16648,87196,13862,66728,6606,0.003381120865400037,1.9704008128482882e-05,0.00034916661462973343,0.0006002478358551808,0.00241200240678664,0.012633166858611716,0.0020083600049781596,0.009667713635275042,0.0009570932183585141
22,2018,Michigan,9995915,44918,551,7690,5656,31021,165280,31651,116178,17451,0.004493635650163092,5.512251754841853e-05,0.0007693142648772023,0.0005658311420215158,0.003103367725715955,0.016534754447191678,0.003166393471733203,0.011622547810780703,0.001745813164677771
23,2018,Minnesota,5611179,12369,106,2462,2944,6857,111874,16185,85561,10128,0.002204349567176524,1.889086054820208e-05,0.0004387669685818257,0.0005246669193764805,0.0012220248186700156,0.019937699367637354,0.002884420546911799,0.015248310560044512,0.0018049682606810441
24,2018,Mississippi,2986530,6999,171,537,1595,4696,71766,20839,46627,4300,0.0023435224156462516,5.725708430854537e-05,0.000179807334933853,0.0005340646167960811,0.0015723933796077721,0.024029894225070566,0.00697766304038466,0.015612433158213713,0.0014397980264721935
25,2018,Missouri,6126452,30758,607,2912,5197,22042,162173,27257,115101,19815,0.005020524114120212,9.90785531332001e-05,0.00047531589246108515,0.0008482886995605286,0.003597840968965398,0.02647094925415232,0.004449067747531524,0.018787546201292363,0.003234335305328435
26,2018,Montana,1062305,3974,34,551,269,3120,26518,3257,20465,2796,0.0037409218633066774,3.200587401923177e-05,0.0005186834289587265,0.00025322294444627487,0.0029370096158824444,0.024962699036529055,0.0030659744611952313,0.019264712111869944,0.0026320124634638827
27,2018,Nebraska,1929268,5494,44,1233,756,3461,40126,5246,30006,4874,0.0028477121892862994,2.280657741692704e-05,0.0006391024989788873,0.000391858466527201,0.0017939446463632839,0.020798561941627602,0.0027191660256636195,0.015553049135734381,0.0025263467802296
28,2018,Nevada,3034392,16420,202,2329,3862,10027,73985,17743,44338,11904,0.005411298210646482,6.657017287153407e-05,0.000767534319890113,0.0012727426120290326,0.0033044511058558023,0.024382149702477464,0.0058472998874239054,0.014611823389990482,0.003923026425063077
29,2018,New Hampshire,1356458,2349,21,534,359,1435,16935,1847,14219,869,0.0017317159838343686,1.548149666263165e-05,0.00039367234370691907,0.00026465987151832196,0.001057902271946496,0.012484721237222236,0.001361634492184793,0.01048244766885521,0.0006406390761822334
30,2018,New Jersey,8908520,18537,286,1424,6364,10463,125156,19232,94887,11037,0.002080817015621001,3.210409809934759e-05,0.0001598469779491992,0.0007143723087561122,0.001174493630816342,0.014049022733293521,0.002158832219044241,0.01065126418305173,0.0012389263311975503
31,2018,New Mexico,2095428,17949,167,1354,2830,13598,71657,16088,45390,10179,0.008565791809596894,7.969732197908972e-05,0.000646168706345434,0.001350559408388167,0.006489366372884203,0.03419683234165049,0.007677667760476618,0.021661445776232826,0.004857718804941043
32,2018,New York,19542209,68495,562,6575,18187,43171,281507,31137,237233,13137,0.003504977354402463,2.8758263715222777e-05,0.0003364512169530067,0.0009306522103002787,0.0022091156634339547,0.014405075700500388,0.0015933203866563908,0.012139518106678729,0.0006722372071652698
33,2018,North Carolina,10383620,39210,628,2633,8423,27526,258979,62290,179057,17632,0.003776139727763535,6.0479871181726607e-05,0.0002535724535373983,0.0008111814569485401,0.0026509059460958703,0.024941109170019703,0.0059988712992193475,0.01724417881239876,0.0016980590584015978
34,2018,North Dakota,760077,2133,18,397,158,1560,15507,2724,11008,1775,0.0028062946254129514,2.3681811184919423e-05,0.0005223155022451673,0.00020787367595651493,0.00205242363602635,0.020401880335808083,0.0035838474259844728,0.014482743195755167,0.002335289714068443
35,2018,Ohio,11689442,32723,564,5300,9185,17674,254496,48186,186401,19909,0.0027993637335297955,4.82486674727502e-05,0.0004534005985914469,0.0007857517920872528,0.0015119626753783456,0.02177144127153375,0.00412218136674103,0.015946099052461186,0.0017031608523315313
36,2018,Oklahoma,3943079,18380,206,2299,2791,13084,113364,26858,73217,13289,0.004661331918533715,5.2243437171814206e-05,0.000583046903194179,0.0007078224910025896,0.0033182190871651317,0.02875012141526964,0.00681142832796401,0.018568484171886994,0.003370208915418636
37,2018,Oregon,4190713,11966,82,1975,2549,7360,121278,16304,88418,16556,0.0028553613669082085,1.9567076056031516e-05,0.000471280185495881,0.0006082497178881017,0.0017562643874681945,0.028939705486870613,0.0038905074148480223,0.02109855769173408,0.003950640380288509
38,2018,Pennsylvania,12807060,39192,784,4483,9848,24077,190816,27104,150596,13116,0.003060187115544083,6.121623542015107e-05,0.00035004130534252204,0.0007689508755327139,0.0018799786992486957,0.014899282114708605,0.0021163327102395085,0.011758826772108509,0.0010241226323605885
39,2018,Puerto Rico,3195153,6417,639,198,2271,3309,24851,5486,15658,3707,0.002008354529501404,0.00019999042299382846,6.196886346287642e-05,0.000710764085475719,0.0010356311575689802,0.007777718312706778,0.0017169756816027275,0.004900547798493531,0.0011601948326105198
