,Year,State,Population,Violent Crime,Murder-Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-Theft,Motor Vehicle Theft,% Violent Crime,% Murder-Manslaughter,% Rape,% Robbery,% Aggravated Assault,% Property Crime,% Burglary,% Larceny-Theft,% Motor Vehicle Theft
0,2011,Alabama,4802740,20174,301,1371,4910,13592,173190,51117,111411,10662,0.004200518870478102,6.267255774828535e-05,0.0002854620487471735,0.0010223330848640568,0.0028300511791185864,0.03606066537018452,0.01064329944989735,0.023197383160445912,0.0022199827598412573
1,2011,Alaska,722718,4383,29,420,576,3358,19028,2826,14859,1343,0.0060646061119274735,4.012630099153473e-05,0.0005811395316015376,0.0007969913576249657,0.004646348921709436,0.026328388112652513,0.0039102388483474885,0.02055988642873154,0.0018582628355734879
2,2011,Arizona,6482505,26311,405,2264,7127,16515,230422,54929,155664,19829,0.004058770490728507,6.247584845673084e-05,0.00034924770594083613,0.0010994206714842487,0.0025476262648466913,0.03554520976073293,0.008473421925629058,0.02401293944239148,0.003058848392712385
3,2011,Arkansas,2937979,14129,162,1213,2428,10326,110295,34471,70012,5812,0.004809088152093667,5.513994483963296e-05,0.00041286884623749863,0.0008264184325347459,0.00351466092848179,0.03754111244498344,0.011732895299796221,0.023829986531557917,0.001978230613629301
4,2011,California,37691912,154944,1792,7663,54292,91197,973901,230090,596963,146848,0.004110802338708633,4.754335625107052e-05,0.00020330621593300972,0.0014404151214191523,0.0024195376451054008,0.02583846104702781,0.006104492656143313,0.015837960143810163,0.0038960082470743326
5,2011,Colorado,5116796,16383,149,2278,3306,10650,133361,25768,96546,11047,0.0032018083191121946,2.911978511552933e-05,0.00044520047310856245,0.0006461074469257715,0.002081380613962331,0.026063380287195348,0.005035963911791676,0.018868448146066405,0.002158968229337265
6,2011,Connecticut,3580709,9767,128,686,3677,5276,77609,15679,55218,6712,0.0027276720895219354,3.574711041863497e-05,0.0001915821698998718,0.0010268916016353186,0.00147345120756811,0.02167419915999876,0.004378741751982638,0.01542096830543895,0.0018744891025771712
7,2011,Delaware,907135,5075,41,289,1538,3207,30939,7531,21878,1530,0.005594536645592993,4.519724186587443e-05,0.00031858543656677343,0.0016954477558467041,0.0035353062113136413,0.03410627966068997,0.008301961670534154,0.024117689208331725,0.0016866287818240945
8,2011,District of Columbia,617996,7429,108,173,4093,3055,29636,3850,21330,4456,0.01202111340526476,0.0001747584126758102,0.0002799370869714367,0.0066230202137230665,0.004943397691894446,0.04795500294500288,0.006229813785202493,0.03451478650347251,0.0072104026563278726
9,2011,Florida,19057542,98199,984,5274,25622,66319,671200,170171,461408,39621,0.005152763142277215,5.163310147761973e-05,0.00027674083048065694,0.0013444545996540373,0.003479934610664901,0.03521965214611622,0.008929325723117913,0.024211306998562564,0.002079019424435743
10,2011,Georgia,9815210,36634,554,2053,12148,21879,355952,95657,230820,29475,0.00373237047398884,5.644301038897792e-05,0.00020916516304796332,0.0012376709209482018,0.002229091379603697,0.03626534735374994,0.009745792499600111,0.0235165625595377,0.0030029922946121375
11,2011,Hawaii,1374810,3949,17,434,1042,2456,45889,10008,31697,4184,0.002872396913027982,1.2365345029494985e-05,0.0003156799848706367,0.0007579229129843397,0.0017864286701435108,0.033378430474029136,0.0072795513561874,0.023055549494111913,0.0030433296237298243
12,2011,Idaho,1584985,3184,36,435,184,2529,32787,6920,24534,1333,0.0020088518187869287,2.2713148704877335e-05,0.00027445054685060113,0.00011608942671381749,0.0015955986965176326,0.02068600018296703,0.00436597191771531,0.015479010842373903,0.000841017422877819
13,2011,Illinois,12869257,55247,721,3708,20254,30564,346025,77746,239510,28769,0.0042929440293250805,5.602499040931423e-05,0.0002881285221050446,0.0015738282326633155,0.0023749622841474066,0.026887721645468734,0.006041219007437647,0.018611020045679404,0.00223548259235168
14,2011,Indiana,6516922,21626,312,1757,6978,12579,206055,50551,140688,14816,0.003318437753282915,4.78753620190636e-05,0.0002696058047035088,0.001070750885157134,0.0019302057014032085,0.03161845423345561,0.007756882773800269,0.021588105550442372,0.002273465909212969
15,2011,Iowa,3062309,7826,46,834,825,6121,71361,17400,50025,3936,0.0025555879566692974,1.5021345004700702e-05,0.00027234351595479097,0.00026940455714952345,0.0019988185385602826,0.023303004366966234,0.0056819870235172215,0.01633571269261201,0.0012853046508369992
16,2011,Kansas,2871238,10162,110,1085,1459,7508,88438,18789,62972,6677,0.0035392398679593958,3.831100034201275e-05,0.0003778857761007621,0.0005081431772636054,0.0026148999142530157,0.030801347711335667,0.006543867140237069,0.021932002850338424,0.002325477720760174
17,2011,Kentucky,4369356,10406,153,1463,3693,5097,118358,32553,79132,6673,0.002381586668607456,3.501660198894299e-05,0.0003348319523517882,0.000845204648007624,0.001166533466259101,0.027088202471943233,0.007450297023176871,0.018110678095353182,0.0015272273534131804
18,2011,Louisiana,4574836,25406,513,1268,5239,18386,168744,46320,113301,9123,0.0055534231172439845,0.00011213516724971124,0.00027716840559967613,0.0011451776631992928,0.004018941881195304,0.03688525665182315,0.010124953113073343,0.02476613369309851,0.0019941698456512977
19,2011,Maine,1328188,1636,26,393,369,848,33809,7854,24877,1078,0.0012317533361241029,1.9575542016642223e-05,0.000295891846636169,0.00027782211554388387,0.0006384638319274079,0.025454980770794496,0.005913319499950308,0.018730029182615713,0.0008116320882284736
20,2011,Maryland,5828289,28797,398,1194,10343,16862,166699,35784,114847,16068,0.004940901180432199,6.82876226625001e-05,0.00020486286798750028,0.0017746203045181871,0.0028931303852640115,0.028601704548281665,0.006139709269735938,0.01970509698472399,0.0027568982938217376
21,2011,Massachusetts,6587536,28219,185,1628,6768,19638,148790,36533,101471,10786,0.004283695755135152,2.808333798858936e-05,0.00024713337429958635,0.0010273947649014745,0.002981084277945502,0.022586593834174114,0.005545776144525055,0.015403483184000815,0.0016373345056482423
22,2011,Michigan,9876187,43983,613,4347,10393,28630,257979,71596,160887,25496,0.004453439368857637,6.206848857762617e-05,0.0004401496245463963,0.0010523292035681381,0.0028988920521654765,0.026121315847907698,0.007249356457102321,0.01629039628350496,0.002581563107300419
23,2011,Minnesota,5344861,11825,74,1664,3386,6701,136264,25724,102358,8182,0.00221240552373579,1.3845074736274714e-05,0.0003113270859616368,0.0006335057169868403,0.0012537276460510385,0.025494395457618075,0.004812847331296361,0.019150731889940636,0.001530816236381077
24,2011,Mississippi,2978512,8036,239,865,2492,4440,90115,30907,54283,4925,0.0026979914803096313,8.024140913315104e-05,0.0002904134682015718,0.000836659378911349,0.0014906772240635593,0.03025504010056028,0.010376657874804601,0.018224872016631123,0.0016535102091245562
25,2011,Missouri,6010688,26889,366,1458,6269,18796,198882,44822,138743,15317,0.004473531149845076,6.0891531884536344e-05,0.00024256790570397266,0.0010429754464048042,0.0031270962658517627,0.03308805913732338,0.007457049841881661,0.023082715323104443,0.0025482939723372763
26,2011,Montana,998199,2670,28,357,169,2116,23155,3390,18307,1458,0.0026748173460402185,2.805051898469143e-05,0.0003576441170548157,0.00016930491815760185,0.0021198177918431093,0.02319677739609036,0.0033961164056465695,0.018340030394740928,0.0014606305957028608
27,2011,Nebraska,1842641,4665,67,695,997,2906,50726,8714,37909,4103,0.002531692282978616,3.6360853796263084e-05,0.00037717602072243045,0.0005410712124608103,0.0015770841959991122,0.027528965218943897,0.004729081790755769,0.02057318815764981,0.00222669527053832
28,2011,Nevada,2723322,15309,141,912,4299,9957,69731,20214,40032,9485,0.005621443222652334,5.177500126683514e-05,0.0003348851145769762,0.0015785867407526542,0.0036561963660558684,0.025605124917288516,0.007422552309275216,0.01469969397669464,0.0034828786313186614
29,2011,New Hampshire,1318194,2478,17,429,474,1558,30106,5749,23383,974,0.0018798446966076313,1.2896432543313048e-05,0.00032544526829889986,0.0003595828838547285,0.0011819201119106898,0.02283882342052839,0.004361270040676865,0.017738663656487588,0.0007388897233639358
30,2011,New Jersey,8821155,27203,380,1006,12209,13608,189719,43238,129066,17415,0.0030838365270761028,4.3078259026170606e-05,0.00011404402257980956,0.0013840591169750447,0.001542655128495078,0.021507274274173847,0.00490162569414096,0.014631417314399304,0.001974231265633582
31,2011,New Mexico,2082224,11817,156,857,1722,9082,73534,21423,46703,5408,0.005675181920869224,7.491989334480825e-05,0.00041157915766987604,0.0008270003611523063,0.0043616825087022335,0.035315124597545704,0.010288518430293762,0.022429383197965252,0.002597222969286686
32,2011,New York,19465197,77490,774,2752,28396,45568,372255,65397,287547,19311,0.003980951233116213,3.97632759637624e-05,0.0001413805367600441,0.0014588087652028386,0.0023409986551895675,0.01912413216264906,0.0033596885764885912,0.014772365262987064,0.0009920783231734053
33,2011,North Carolina,9656401,33774,508,1995,9550,21721,340562,106144,217386,17032,0.0034975763744691216,5.2607591586140636e-05,0.0002065987110518712,0.0009889812985189824,0.002249388773312127,0.0352680051294473,0.010992087010471085,0.022512113985324347,0.0017638041336518646
34,2011,North Dakota,683932,1689,24,259,91,1315,13246,2433,9833,980,0.0024695437558119814,3.509120789786119e-05,0.0003786926185644187,0.00013305416327939035,0.0019227057660703112,0.019367422492294555,0.003557371200645678,0.014377160302486211,0.0014328909891626652
35,2011,Ohio,11544951,35484,513,3631,16057,15283,387297,112709,253520,21068,0.003073551373236664,4.443500886231566e-05,0.0003145097800761562,0.00139082443918558,0.0013237821451126124,0.03354687256793035,0.009762622639108647,0.021959382937181804,0.0018248669916398953
36,2011,Oklahoma,3791508,17243,208,1403,3282,12350,127252,36341,79880,11031,0.004547794703321211,5.485943851364681e-05,0.0003700374626665696,0.0008656186403932155,0.0032572791617477793,0.03356237148912781,0.009584840649155955,0.021068134367644747,0.0029093964723271057
37,2011,Oregon,3871859,9586,82,1217,2222,6065,120594,20448,91099,9047,0.002475813297953257,2.117845717005707e-05,0.00031431929726779824,0.0005738845345349611,0.0015664310089804406,0.03114627882885198,0.005281184051382036,0.023528491094329623,0.002336603683140321
38,2011,Pennsylvania,12742886,45240,637,3324,16131,25148,283179,57850,208485,16844,0.0035502161755194233,4.998867603461257e-05,0.0002608514272198621,0.0012658827835389879,0.0019734932887259604,0.022222516940040113,0.004539787925592366,0.016360893442819782,0.0013218355716279656
39,2011,Puerto Rico,3706690,10540,1136,45,6465,2894,51717,16591,29273,5853,0.0028435072800800714,0.00030647289090806083,1.2140211347590437e-05,0.0017441436969371595,0.0007807504808872607,0.013952340228074104,0.004475961032619399,0.007897342372844776,0.0015790368226099296
40,2011,Rhode Island,1051302,2602,14,304,746,1538,28141,6964,18890,2287,0.0024750262056002937,1.3316820475943164e-05,0.00028916524462048015,0.0007095962910752572,0.0014629478494286132,0.026767760358108326,0.006624166985319157,0.017968195627897598,0.0021753977448915724
41,2011,South Carolina,4679230,26760,320,1612,4313,20515,182685,46921,122100,13664,0.005718889646373442,6.838732013600528e-05,0.00034450112518512663,0.0009217328492080962,0.004384268351844214,0.03904167993451914,0.010027504525317199,0.026094036839394517,0.0029201385698074257
42,2011,South Dakota,824082,2094,21,496,167,1410,14979,2899,11134,946,0.0025410092684951253,2.5482900973446817e-05,0.0006018818515633153,0.0002026497363126485,0.001710994779645715,0.018176589222917136,0.0035178538058105867,0.013510791401826518,0.0011479440152800328
