,Year,State,Population,Violent Crime,Murder-Manslaughter,Rape,Rape-Legacy,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-Theft,Motor Vehicle Theft,% Violent Crime,% Murder-Manslaughter,% Rape,% Robbery,% Aggravated Assault,% Property Crime,% Burglary,% Larceny-Theft,% Motor Vehicle Theft
0,2014,Alabama,4849377,20727,276,2005,1436,4701,13745,154094,39715,104238,10141,0.004274157278347301,5.691452737124789e-05,0.00041345517166431895,0.0009694028738124505,0.0028343847054992837,0.03177604050994592,0.008189711791844603,0.02149513226131934,0.0020911964567819743
1,2014,Alaska,736732,4684,41,771,555,629,3243,20334,3150,15445,1739,0.006357807180901604,5.565117301813957e-05,0.0010465135218776977,0.0008537704348392631,0.004401872051166503,0.027600267125630486,0.004275638902613162,0.020964204079638185,0.002360424143379139
2,2014,Arizona,6731484,26916,319,3378,2464,6249,16970,215240,43562,154091,17587,0.00399852395103368,4.738925324638668e-05,0.0005018209951921449,0.000928324274409625,0.0025209894281855235,0.03197511871082216,0.006471381347708767,0.022891089097144105,0.002612648265969287
3,2014,Arkansas,2966369,14243,165,1763,1182,2050,10265,99018,24790,68627,5601,0.0048014930037362175,5.562355863346738e-05,0.0005943292961866848,0.0006910805769612614,0.003460459571954804,0.03338020320465863,0.008357018294082766,0.023135017929327067,0.0018881669812487927
4,2014,California,38802500,153709,1699,11527,8398,48680,91803,947192,202670,592670,151852,0.003961316925455834,4.37858385413311e-05,0.000297068487855164,0.001254558340313124,0.002365904258746215,0.02441059210102442,0.0052231170671992785,0.015274015849494234,0.003913459184330907
5,2014,Colorado,5355866,16554,151,3039,2121,3039,10325,135510,23472,99464,12574,0.0030908166858543513,2.8193386466352968e-05,0.0005674152415314349,0.0005674152415314349,0.0019277928163251284,0.025301230463943645,0.00438248455058435,0.018571039678737293,0.0023477062346220013
6,2014,Connecticut,3596677,8522,86,782,571,3159,4495,69070,11955,51005,6110,0.002369409318657194,2.3910960033386372e-05,0.00021742291565242028,0.0008783107295984599,0.0012497647133729273,0.019203837319837172,0.003323901479059699,0.014181145540731068,0.0016987903000464039
7,2014,Delaware,935614,4576,54,386,249,1269,2867,27900,5768,20865,1267,0.004890905865025534,5.7716109421192926e-05,0.00041256330067741614,0.0013563285713980339,0.0030642978835288912,0.029819989867616345,0.006164935539656312,0.022300863390244268,0.0013541909377157674
8,2014,District of Columbia,658893,8199,105,472,352,3497,4125,34147,3466,26898,3783,0.012443598581256744,0.00015935819624734212,0.0007163530345594808,0.005307386783590052,0.006260500566859869,0.05182480311674278,0.005260338173269408,0.0408230167872477,0.005741448156225669
9,2014,Florida,19893297,107521,1149,8563,6051,24914,72895,679446,143220,493647,42579,0.005404885876886069,5.7758148385358144e-05,0.0004304464966264767,0.0012523816439276004,0.0036642995879466334,0.034154519484628415,0.007199409931898167,0.02481474036204255,0.0021403691906876974
10,2014,Georgia,10097343,38097,580,3048,2159,12417,22052,331316,76428,228034,26854,0.0037729727513465673,5.744085349977712e-05,0.00030186158873675976,0.0012297294446667801,0.00218394086444325,0.03281219623815889,0.007569119916001665,0.022583564805117546,0.0026595115170396804
11,2014,Hawaii,1419561,3680,26,445,314,1107,2102,43297,7778,31640,3879,0.0025923507337831907,1.8315521488685588e-05,0.0003134771947101956,0.0007798185495374979,0.0014807394680468116,0.030500274380600764,0.005479158697653711,0.022288580765461998,0.0027325349174850536
12,2014,Idaho,1634464,3468,32,609,468,204,2623,30316,6428,22227,1661,0.0021217965033185193,1.957828376764493e-05,0.0003725992129529925,0.00012481155901873642,0.0016048074475791452,0.018547976584372614,0.003932787751825675,0.013598953540732619,0.0010162352918143196
13,2014,Illinois,12880580,47663,685,4159,3081,15299,27520,267385,50008,199926,17451,0.0037003768463842466,5.3180835024509766e-05,0.00032288918666706004,0.0011877570730510583,0.0021365497516416185,0.020758770179603713,0.0038824338655557436,0.01552150601913889,0.0013548302949090802
14,2014,Indiana,6596855,24099,330,2186,1615,6897,14686,174776,36893,124022,13861,0.003653104395958377,5.002383711632285e-05,0.0003313700240493387,0.0010454981957311476,0.002226212339061568,0.02649383683588619,0.005592513402219694,0.018800170687395736,0.0021011527462707607
15,2014,Iowa,3107126,8497,60,1128,828,1045,6264,65056,14428,46477,4151,0.002734681503099649,1.9310449592324226e-05,0.00036303645233569544,0.0003363236637329803,0.002016010937438649,0.02093767681130408,0.004643519445300899,0.014958196095040883,0.0013359612709622976
16,2014,Kansas,2904021,10123,91,1411,1075,1362,7259,79431,15828,56697,6906,0.003485856335060938,3.133586155196536e-05,0.0004858780291189354,0.0004690048728986464,0.0024996375714913905,0.027352074933342425,0.005450373809280305,0.0195236191473822,0.0023780819766799207
17,2014,Kentucky,4413457,9340,160,1440,883,3336,4404,99166,23244,69604,6318,0.002116254899503949,3.6252760591074075e-05,0.00032627484531966663,0.0007558700583238944,0.0009978572352693138,0.022469007854840323,0.005266619794868286,0.015770857176131997,0.0014315308838400375
18,2014,Louisiana,4649676,23934,477,1375,992,5695,16387,160824,38337,112596,9891,0.005147455435604545,0.00010258779321397878,0.0002957195297048655,0.0012248165248503336,0.0035243315878353675,0.03458821646927657,0.008245090625669402,0.024215880848472024,0.002127244995135145
19,2014,Maine,1330089,1700,21,485,360,304,890,26421,5030,20592,799,0.001278109961062756,1.5788417166069337e-05,0.0003646372535973157,0.0002285561342135752,0.0006691281560857957,0.01986408428308181,0.0037817018259680367,0.015481670775414277,0.0006007116816994953
