,Year,State,Population,Violent Crime,Murder-Manslaughter,Rape,Rape-Legacy,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-Theft,Motor Vehicle Theft,% Violent Crime,% Murder-Manslaughter,% Rape,% Robbery,% Aggravated Assault,% Property Crime,% Burglary,% Larceny-Theft,% Motor Vehicle Theft
0,2013,Alabama,4833722,20826,347,2044,1428,4648,13787,161993,42429,108993,10571,0.004308481124897129,7.178733075671295e-05,0.00042286254774271255,0.0009615778482916477,0.002852253398106056,0.03351309818810432,0.008777707944312891,0.022548462654658253,0.002186927589133177
1,2013,Alaska,735132,4708,34,922,644,624,3128,21210,2916,16599,1695,0.006404292018304196,4.6250197243488245e-05,0.0012541965252498872,0.0008488271494099019,0.0042550181464009185,0.028851961280423107,0.00396663456358858,0.022579618354254746,0.002305708362579782
2,2013,Arizona,6626624,27599,357,3050,2343,6702,17490,225243,48533,159272,17438,0.004164865850242899,5.387358630880521e-05,0.0004602645328903526,0.001011374721124965,0.002639353009918776,0.03399061120715465,0.007323940516317208,0.02403516481393844,0.0026315058768990062
3,2013,Arkansas,2959373,13621,159,1423,993,2258,9781,106613,30485,70450,5678,0.004602664145411882,5.372759702815427e-05,0.0004808450979312172,0.000762999459682845,0.0033050919907696664,0.03602553649033089,0.01030116852454895,0.02380571830587087,0.001918649659911069
4,2013,California,38332521,154129,1746,9714,7464,53640,89029,1018907,232058,621557,165292,0.004020841728619936,4.554879132525617e-05,0.0002534140658267689,0.0013993340015387979,0.0023225448699291133,0.026580745889371586,0.006053815244763057,0.016214874049113544,0.004312056595494985
5,2013,Colorado,5268367,16226,178,2934,2050,3151,9963,140057,25081,102443,12533,0.0030798917387494075,3.378656042754804e-05,0.0005569088106428425,0.0005980980444224937,0.0018910983232565232,0.02658451850450054,0.004760678213951306,0.019444924774602832,0.0023789155159464025
6,2013,Connecticut,3596080,9440,86,955,668,3530,4869,70990,12892,51876,6222,0.002625080643367222,2.3914929589997997e-05,0.00026556695067962894,0.0009816244354964295,0.0013539743276011658,0.019740940134813464,0.0035850147938866765,0.014425707993148094,0.0017302173477786924
7,2013,Delaware,925749,4549,39,380,266,1226,2904,28379,6131,20916,1332,0.004913858940166287,4.2128049827761085e-05,0.0004104784342192106,0.0013243330535598742,0.0031369194025594412,0.03065517759133415,0.006622745474205211,0.022593597184550025,0.0014388349325789172
8,2013,District of Columbia,646449,8406,103,395,276,4078,3830,31083,3316,24533,3234,0.013003345971607969,0.00015933198133186068,0.0006110304138454852,0.006308308930789591,0.005924674645641032,0.04808267937609927,0.005129561651421845,0.03795040289334503,0.005002714831332402
9,2013,Florida,19552860,91986,972,6760,4722,23200,61054,607172,138916,433344,34912,0.004704478014980929,4.971139771879919e-05,0.0003457294738467927,0.0011865271883499395,0.003122509955065397,0.031052848534690067,0.007104638400725009,0.022162691289151562,0.0017855188448134952
10,2013,Georgia,9992167,36541,556,2582,1984,12488,20915,334399,82258,225315,26826,0.0036569645002930795,5.564358562061663e-05,0.00025840240660509375,0.0012497789518529864,0.0020931395562143826,0.03346611400710176,0.008232248320109142,0.02254916275918927,0.0026847029278033482
11,2013,Hawaii,1404054,3533,21,385,296,1131,1996,42875,7533,31658,3684,0.00251628498618999,1.4956689699968805e-05,0.0002742059778327614,0.000805524573841177,0.0014215977448160826,0.030536574804102976,0.005365178262374524,0.022547565834362494,0.002623830707365956
12,2013,Idaho,1612136,3498,27,655,457,220,2596,30055,6640,21879,1536,0.0021697921267188375,1.6747966672786913e-05,0.0004062932655805714,0.00013646491363011559,0.0016102859808353638,0.018642968087059654,0.0041187592113816705,0.013571435660514993,0.0009527732151629887
13,2013,Illinois,12882135,48974,706,4263,3276,17722,26283,292983,58237,213813,20933,0.003801699019611268,5.4804580141412895e-05,0.00033092340671790816,0.001375703639187138,0.002040267393564809,0.022743357370497982,0.00452075684659414,0.016597636960022543,0.0016249635638812977
14,2013,Indiana,6570902,23487,355,2142,1646,7108,13882,187536,42909,130423,14204,0.0035743951134867024,5.402606826277427e-05,0.0003259826428700352,0.0010817388541177451,0.002112647548236148,0.028540373909091935,0.006530153698837694,0.019848568735312138,0.002161651474942101
15,2013,Iowa,3090416,8388,43,1083,757,939,6323,67800,15868,47686,4246,0.002714197700244886,1.391398439562829e-05,0.00035043825815035906,0.0003038425894766271,0.0020460028682222717,0.021938794000548795,0.005134583823019296,0.015430285113719319,0.0013739250638101796
16,2013,Kansas,2893957,9838,112,1195,835,1350,7181,85280,17375,61264,6641,0.003399497642846801,3.870133523062022e-05,0.00041292942500527823,0.0004664893085833687,0.0024813775740275337,0.029468302397029397,0.006003890175285949,0.02116963037114926,0.0022947818505941863
17,2013,Kentucky,4395295,9222,167,1611,1126,3246,4198,103857,26213,71612,6032,0.0020981526837220254,3.799517438533705e-05,0.0003665282990106466,0.0007385169823640961,0.0009551122279619457,0.023629130695436824,0.005963877282412215,0.016292876814866807,0.0013723765981578028
18,2013,Louisiana,4625470,23984,498,1619,1244,5548,16319,165686,41184,115342,9160,0.005185202801012654,0.00010766473461075306,0.00035001848460805064,0.0011994456779527269,0.003528073903841123,0.03582035987694224,0.008903743835761556,0.024936276745930682,0.001980339295249996
19,2013,Maine,1328302,1718,24,447,344,335,912,30447,6483,23050,914,0.001293380571586883,1.806818027828009e-05,0.00033651985768296666,0.0002522016830509929,0.0006865908505746434,0.02292174520553308,0.0048806671976704095,0.01735298147559817,0.0006880965322645001
