,Year,State,Population,Violent Crime,Murder-Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-Theft,Motor Vehicle Theft,% Violent Crime,% Murder-Manslaughter,% Rape,% Robbery,% Aggravated Assault,% Property Crime,% Burglary,% Larceny-Theft,% Motor Vehicle Theft
0,2019,Alabama,4903185,25046,358,2068,3941,18679,131133,26079,92477,12577,0.0051081083010329,7.30137655421935e-05,0.0004217666679923356,0.0008037632681614094,0.0038095645993369617,0.02674445284034765,0.005318787685963307,0.018860597754316838,0.002565067400067507
1,2019,Alaska,731545,6343,69,1088,826,4360,21294,3563,15114,2617,0.008670690114757124,9.43209235248686e-05,0.0014872632578993774,0.0011291171424861082,0.005959988790846769,0.029108257181718146,0.004870513775639229,0.020660383161664696,0.0035773602444142192
2,2019,Arizona,7278717,33141,365,3662,6410,22704,177638,28699,130788,18151,0.004553137592792795,5.014620021632933e-05,0.0005031106443621864,0.0008806497079086878,0.0031192310403055923,0.024405125243913178,0.003942865205502563,0.017968551325735015,0.0024937087126755994
3,2019,Arkansas,3017804,17643,242,2331,1557,13513,86250,18095,60735,7420,0.005846304133734331,8.019076122902613e-05,0.0007724159686977683,0.0005159380794776599,0.004477759324329877,0.028580384942163244,0.005996081919170363,0.020125561501011992,0.0024587415219808843
4,2019,California,39512223,174331,1690,14799,52301,105541,921114,152555,626802,141757,0.004412077751231562,4.277157476054941e-05,0.00037454232833217206,0.0013236663500304704,0.00267109749810837,0.023312127996443024,0.0038609571524234414,0.015863496214829523,0.003587674629190061
5,2019,Colorado,5758736,21938,218,3872,3663,14185,149189,20064,107012,22113,0.0038095165327946966,3.7855529407842274e-05,0.0006723697700328683,0.0006360770835822305,0.0024632141497717554,0.025906553104709087,0.003484097899261227,0.01858255005959641,0.003839905145851451
6,2019,Connecticut,3565287,6546,104,771,1929,3742,50862,6441,38457,5964,0.0018360373232225063,2.9170162177687238e-05,0.00021625187537496982,0.0005410504119303719,0.0010495648737394773,0.014265892198860848,0.0018065866787161874,0.01078650891218575,0.0016727966079589105
7,2019,Delaware,973764,4115,48,310,790,2967,21931,2968,17359,1604,0.004225869923307906,4.929325791464872e-05,0.000318352290698773,0.0008112848698452603,0.0030469395048492243,0.022521884152628357,0.003047966447722446,0.017826701336258067,0.0016472163686478448
8,2019,District of Columbia,705749,7403,166,345,2713,4179,30821,1843,26645,2333,0.010489564986985458,0.0002352111019640127,0.0004888423504673758,0.003844142889327509,0.00592136864522656,0.043671333576101416,0.0026114100055402135,0.0377542157339224,0.003305707836638805
9,2019,Florida,21477737,81270,1122,8456,16217,55475,460846,63396,358402,39048,0.0037839182033004687,5.2240140569744383e-05,0.0003937100077163623,0.0007550609265771342,0.0025829071284372276,0.021456916061501265,0.0029517076217107975,0.016687139804347172,0.0018180686354432964
10,2019,Georgia,10617423,36170,654,2922,7961,24633,252249,39506,188967,23776,0.003406664686901897,6.159686771451039e-05,0.000275208023641895,0.0007498052964452862,0.0023200544991002054,0.02375802489926228,0.0037208652231337114,0.017797821561785755,0.0022393381143428117
11,2019,Hawaii,1415872,4042,48,765,1131,2098,40228,5340,29634,5254,0.0028547778330244543,3.390136961533246e-05,0.0005403030782443611,0.000798801021561271,0.0014817723636034897,0.028412172851783213,0.0037715273697057363,0.020929858066265877,0.003710787415811599
12,2019,Idaho,1787065,4000,35,809,155,3001,21793,3927,16295,1571,0.0022383069446270843,1.9585185765486987e-05,0.00045269757955082774,8.67343941042995e-05,0.0016792897852064698,0.012194855811064512,0.0021974578428876398,0.009118302915674583,0.0008790950525022872
13,2019,Illinois,12671821,51561,832,6078,12464,32187,233984,34433,180776,18775,0.0040689495219353245,6.565749311010628e-05,0.0004796469268308004,0.0009835997525533228,0.0025400453494410944,0.01846490729311912,0.0027172890147359246,0.014265984344317995,0.0014816339340651987
14,2019,Indiana,6732219,24966,377,2475,5331,16783,132694,21795,97176,13723,0.0037084355098965143,5.599936662785331e-05,0.00036763509921468687,0.0007918637227933316,0.0024929373212606424,0.019710291658664104,0.0032374169645996366,0.014434468040923803,0.0020384066531406657
15,2019,Iowa,3155070,8410,60,1164,863,6323,54699,11710,37847,5142,0.0026655510020379895,1.9017010716085538e-05,0.00036893000789205946,0.00027352800413303033,0.0020040759792968143,0.01733685781931938,0.003711486591422694,0.011995613409528157,0.0016297578183685306
16,2019,Kansas,2913314,11968,105,1416,1293,9154,67428,9984,50165,7279,0.004108036414886964,3.6041429107881954e-05,0.00048604441539772233,0.00044382445558563204,0.0031421261147957275,0.02314477601796442,0.0034270250306008897,0.01721922182092284,0.0024985291664406926
17,2019,Kentucky,4467673,9701,221,1572,2161,5747,84769,15443,59130,10196,0.002171376463765365,4.94664672190646e-05,0.0003518610247437536,0.00048369699393845523,0.0012863519778640916,0.01897385954612166,0.0034566092907873966,0.013235077858204932,0.002282172397129333
18,2019,Louisiana,4648794,25537,544,2273,4025,18695,146993,26918,109359,10716,0.005493252658646522,0.00011701959691051055,0.0004889440142970414,0.0008658159514058915,0.004021473096033078,0.03161959854534316,0.0057903189515388295,0.023524165622309787,0.0023051139714945425
19,2019,Maine,1344212,1548,20,516,188,824,16743,2350,13667,726,0.0011516040624544343,1.4878605458067626e-05,0.0003838680208181448,0.0001398588913058357,0.0006129985448723862,0.012455624559221314,0.001748236141322946,0.010167295039770513,0.0005400933781278548
20,2019,Maryland,6045680,27456,542,1913,9203,15798,117901,16862,89780,11259,0.004541424620555504,8.965079197046486e-05,0.0003164242897407736,0.001522243982480052,0.002613105556364214,0.019501693771420255,0.0027890989929999603,0.014850273252967408,0.0018623215254528853
21,2019,Massachusetts,6892503,22578,152,2204,3613,16609,81317,12341,62844,6132,0.003275733068233703,2.205294651304468e-05,0.0003197677244391479,0.000524192735208095,0.002409719662073415,0.01179789112895562,0.001790496137615029,0.009117732701748552,0.0008896622895920393
22,2019,Michigan,9986857,43686,556,7235,5350,30545,158296,28572,111980,17744,0.004374349207162974,5.567317124897252e-05,0.0007244521474574033,0.0005357040758669118,0.0030585198125896865,0.01585043222307078,0.002860960159938207,0.011212736900107812,0.0017767351630247634
23,2019,Minnesota,5639632,13332,117,2448,3149,7618,117236,15927,90092,11217,0.002363984033000735,2.074603449303075e-05,0.0004340708755464896,0.0005583697659705456,0.001350797356990669,0.02078788119508507,0.002824120439064109,0.015974801192701935,0.001988959563319025
24,2019,Mississippi,2976149,8272,332,747,1700,5493,70707,18660,46300,5747,0.002779430734146711,0.00011155355461033705,0.00025099549787325836,0.0005712079603541355,0.0018456737213089801,0.02375788308985874,0.00626984737659304,0.01555701680258616,0.0019310189106795392
25,2019,Missouri,6137428,30380,568,2917,4959,21936,161946,26414,114460,21072,0.00494995623573914,9.254691052994837e-05,0.00047528052467580884,0.0008079931854190388,0.0035741356151143444,0.026386623191343345,0.0043037572090458736,0.018649505949397696,0.003433360032899775
